filesystem,workload,block_size,queue_depth,run,bandwidth_KBps,iops,lat_mean_ns,lat_p99_ns,lat_p999_ns,lat_p9999_ns,write_amplification,zone_resets
f2fs,seq_write,4k,1,1,56783,14195.926802,69325.083606,1208,14656,41728,1.0000,0
f2fs,seq_write,4k,4,1,54076,13519.149362,294722.554849,358400,501760,1515520,1.0000,0
f2fs,seq_write,4k,16,1,61079,15269.957668,1046521.657219,1384448,1646592,7766016,1.0000,0
f2fs,seq_write,4k,32,1,61996,15499.216693,2062866.702311,2539520,2998272,11206656,1.0000,0
f2fs,seq_write,16k,1,1,175975,10998.466718,89822.944637,1288,6944,43776,1.0000,61
f2fs,seq_write,16k,4,1,170917,10682.343922,373348.965942,382976,528384,1695744,1.0000,80
f2fs,seq_write,16k,16,1,191347,11959.20136,1336507.666382,1531904,2441216,9109504,1.0000,79
f2fs,seq_write,16k,32,1,165658,10353.654878,3088331.474065,3194880,15269888,111673344,1.0000,82
f2fs,seq_write,64k,1,1,331931,5186.43732,191723.050716,3728,14400,45824,1.0000,67
f2fs,seq_write,64k,4,1,319656,4994.633512,799609.035323,1974272,17432576,36438016,1.0000,104
f2fs,seq_write,64k,16,1,253384,3959.134696,4039168.061964,19267584,37486592,8220835840,1.0000,75
f2fs,seq_write,64k,32,1,321899,5029.676822,6358648.936146,19529728,42729472,7147094016,1.0000,9
f2fs,seq_write,128k,1,1,410648,3208.19306,310411.932477,5152,14912,36096,1.0000,0
f2fs,seq_write,128k,4,1,401760,3138.753764,1272951.996858,2998272,33423360,834666496,1.0000,0
f2fs,seq_write,128k,16,1,425376,3323.255891,4811903.034232,28966912,65798144,2499805184,1.0000,0
f2fs,seq_write,128k,32,1,448603,3504.717137,9124214.45949,39583744,683671552,1019215872,1.0000,198
f2fs,seq_read,4k,1,1,2923735,730933.902203,1173.309151,310,612,16768,N/A,0
f2fs,seq_read,4k,4,1,3020667,755166.761108,5093.642304,4896,29056,51968,N/A,0
f2fs,seq_read,4k,16,1,2968992,742248.058398,21336.060532,39168,67072,118272,N/A,1
f2fs,seq_read,4k,32,1,3014672,753668.111063,42218.239164,78336,109056,173056,N/A,0
f2fs,seq_read,16k,1,1,6992704,437044.031866,2072.683519,330,652,13248,N/A,0
f2fs,seq_read,16k,4,1,7372369,460773.107563,8482.827194,11584,35584,76288,N/A,0
f2fs,seq_read,16k,16,1,7192505,449531.582281,35341.172087,67072,96768,154624,N/A,0
f2fs,seq_read,16k,32,1,7081995,442624.745842,71990.474904,116224,185344,301056,N/A,0
f2fs,seq_read,64k,1,1,11141907,174092.296923,5513.900893,378,996,13504,N/A,0
f2fs,seq_read,64k,4,1,11050710,172667.344422,22911.567774,33024,160768,181248,N/A,0
f2fs,seq_read,64k,16,1,10884441,170069.397687,93700.51488,154624,301056,407552,N/A,0
f2fs,seq_read,64k,32,1,10380814,162200.226659,196765.455512,250880,374784,806912,N/A,0
f2fs,seq_read,128k,1,1,12376632,96692.443585,10031.937349,418,1048,22400,N/A,0
f2fs,seq_read,128k,4,1,11837301,92478.917369,42928.974435,66048,94720,179200,N/A,0
f2fs,seq_read,128k,16,1,11308145,88344.888504,180719.009196,222208,272384,675840,N/A,0
f2fs,seq_read,128k,32,1,11277234,88103.396553,362374.667221,428032,684032,1761280,N/A,0
